,open,close,high,low,volume,money,factor
2023-03-28,6.4,6.2,6.4,6.16,195224598.0,1221197351.0,1.0
2023-03-29,6.18,6.14,6.31,6.11,131771913.0,817473783.0,1.0
2023-03-30,6.02,5.85,6.08,5.77,157017498.0,927210971.0,1.0
2023-03-31,5.82,6.18,6.21,5.81,167647705.0,1018191403.0,1.0
2023-04-03,6.18,6.31,6.37,6.07,188334507.0,1171321964.0,1.0
2023-04-04,6.37,6.17,6.42,6.11,150501654.0,942866026.0,1.0
2023-04-06,6.0,5.79,6.01,5.71,145100724.0,848090542.0,1.0
2023-04-07,5.8,5.97,6.07,5.7,120759900.0,715068436.0,1.0
2023-04-10,5.97,5.62,6.03,5.6,109938283.0,635484455.0,1.0
2023-04-11,5.63,5.8,5.95,5.55,102412233.0,593126474.0,1.0
2023-04-12,5.8,6.0,6.08,5.76,129035373.0,768468395.0,1.0
2023-04-13,6.05,6.6,6.6,6.01,169725317.0,1102305731.0,1.0
2023-04-14,6.71,6.2,6.77,6.18,316836660.0,2028920999.0,1.0
2023-04-17,6.23,5.86,6.3,5.83,169311032.0,1003524771.0,1.0
2023-04-18,5.81,5.69,5.86,5.6,133829651.0,763063614.0,1.0
2023-04-19,5.7,5.71,5.84,5.66,116855359.0,671328464.0,1.0
2023-04-20,5.64,5.88,5.89,5.61,128763290.0,744425368.0,1.0
2023-04-21,5.85,5.46,5.93,5.45,134306631.0,755463867.0,1.0
2023-04-24,5.43,5.56,5.62,5.39,78081149.0,430893142.0,1.0
2023-04-25,5.64,5.79,5.88,5.62,150360901.0,869040177.0,1.0
2023-04-26,5.71,6.15,6.35,5.7,288844149.0,1767770745.0,1.0
2023-04-27,6.02,5.64,6.03,5.54,232838049.0,1333470724.0,1.0
2023-04-28,5.6,5.93,6.0,5.57,185749332.0,1084631263.0,1.0
2023-05-04,6.01,6.24,6.3,5.82,231816081.0,1410827549.0,1.0
2023-05-05,6.22,6.3,6.58,6.02,255188839.0,1607905203.0,1.0
2023-05-08,6.21,6.93,6.93,6.13,248907689.0,1646807505.0,1.0
2023-05-09,7.18,7.13,7.62,6.91,473832582.0,3453333587.0,1.0
2023-05-10,6.92,7.25,7.4,6.8,354631471.0,2532285344.0,1.0
2023-05-11,7.21,7.83,7.98,7.16,481246260.0,3663419226.0,1.0
2023-05-12,7.38,7.05,7.47,7.05,305932049.0,2199161149.0,1.0
2023-05-15,6.8,7.13,7.31,6.67,251263705.0,1777815930.0,1.0
2023-05-16,7.02,6.42,7.08,6.42,256939637.0,1704989950.0,1.0
2023-05-17,6.23,6.32,6.52,6.15,157016139.0,995301090.0,1.0
2023-05-18,6.33,6.41,6.53,6.16,152364279.0,976092350.0,1.0
2023-05-19,6.42,6.2,6.5,6.18,123276380.0,777592983.0,1.0
2023-05-22,6.16,6.01,6.18,5.93,124744961.0,751500947.0,1.0
2023-05-23,6.05,6.02,6.17,5.89,102818904.0,621033912.0,1.0
2023-05-24,6.03,6.62,6.62,5.97,263161822.0,1697121446.0,1.0
2023-05-25,6.59,6.67,6.75,6.47,275789941.0,1825727015.0,1.0
2023-05-26,6.55,6.71,6.82,6.46,204361797.0,1361851935.0,1.0
2023-05-29,6.77,6.87,6.96,6.66,207864130.0,1415815769.0,1.0
2023-05-30,6.75,6.95,7.13,6.62,197957478.0,1355602222.0,1.0
2023-05-31,6.95,7.03,7.29,6.81,224188579.0,1581238348.0,1.0
2023-06-01,6.9,7.23,7.64,6.85,265466058.0,1916049237.0,1.0
2023-06-02,7.28,7.3,7.65,7.14,260833888.0,1926742487.0,1.0
2023-06-05,7.33,7.46,7.53,7.06,248461618.0,1812793339.0,1.0
2023-06-06,7.27,7.57,8.0,7.22,360667478.0,2772482322.0,1.0
2023-06-07,7.5,7.35,7.74,7.2,270578378.0,2009122273.0,1.0
2023-06-08,7.25,7.08,7.25,6.87,222404563.0,1569575580.0,1.0
2023-06-09,7.18,7.41,7.51,7.01,232850745.0,1696675308.0,1.0
2023-06-12,7.47,7.2,7.61,7.19,190587719.0,1403625042.0,1.0
2023-06-13,7.15,7.92,7.92,7.11,343599730.0,2671530355.0,1.0
2023-06-14,7.91,7.77,8.33,7.71,446802420.0,3577358693.0,1.0
2023-06-15,7.94,7.97,8.25,7.76,339178973.0,2719343147.0,1.0
2023-06-16,7.82,7.9,8.07,7.61,238652338.0,1875240278.0,1.0
2023-06-19,7.87,8.2,8.3,7.72,276519188.0,2221585893.0,1.0
2023-06-20,8.18,7.99,8.48,7.96,242121942.0,1979128301.0,1.0
2023-06-21,7.86,7.19,7.9,7.19,250003379.0,1869980740.0,1.0
2023-06-26,7.0,6.78,7.27,6.77,162846874.0,1132771604.0,1.0
2023-06-27,6.86,6.98,7.1,6.75,119050475.0,827893266.0,1.0
2023-06-28,6.91,6.9,6.96,6.6,120286892.0,814624098.0,1.0
2023-06-29,6.86,6.99,7.03,6.85,95393780.0,663648092.0,1.0
2023-06-30,6.99,7.01,7.05,6.8,92103710.0,637779010.0,1.0
2023-07-03,7.18,6.88,7.23,6.72,99636932.0,688952367.0,1.0
2023-07-04,6.8,6.84,6.94,6.77,67423107.0,460400193.0,1.0
2023-07-05,6.81,6.61,6.84,6.6,82936004.0,555257848.0,1.0
2023-07-06,6.56,6.63,6.76,6.55,62369836.0,415595509.0,1.0
2023-07-07,6.6,6.49,6.6,6.35,80304787.0,519145259.0,1.0
2023-07-10,6.49,6.46,6.5,6.37,50077038.0,322110366.0,1.0
2023-07-11,6.5,6.53,6.58,6.44,54508403.0,355987470.0,1.0
2023-07-12,6.51,6.33,6.64,6.31,78366767.0,509289088.0,1.0
2023-07-13,6.35,6.43,6.45,6.27,75614503.0,481568296.0,1.0
2023-07-14,6.49,6.62,6.69,6.47,96176800.0,636387107.0,1.0
2023-07-17,6.71,6.72,6.79,6.6,69648631.0,466361435.0,1.0
