,open,close,high,low,volume,money,factor
2023-03-28,7.74,8.29,8.29,7.56,419281803.0,3363997859.0,0.9927745809369697
2023-03-29,8.02,8.48,8.8,7.65,433131831.0,3534915209.0,0.9927745809369697
2023-03-30,8.4,8.07,8.63,7.96,227955482.0,1872895474.0,0.9927745809369697
2023-03-31,8.17,8.24,8.32,7.75,227537148.0,1833063917.0,0.9927745809369697
2023-04-03,8.09,8.58,8.77,8.05,264748969.0,2240597981.0,0.9927745809369697
2023-04-04,8.46,8.3,8.57,8.24,191488174.0,1605005123.0,0.9927745809369697
2023-04-06,8.04,8.19,8.45,7.95,138890461.0,1143479293.0,0.9927745809369697
2023-04-07,8.2,8.35,8.52,8.03,164017526.0,1360806242.0,0.9927745809369697
2023-04-10,8.42,7.73,8.49,7.59,226899823.0,1801876853.0,0.9927745809369697
2023-04-11,7.67,7.83,7.95,7.62,116901941.0,913102086.0,0.9927745809369697
2023-04-12,7.79,7.93,8.01,7.78,122632475.0,970492288.0,0.9927745809369697
2023-04-13,7.97,7.86,8.27,7.84,149231878.0,1206465581.0,0.9927745809369697
2023-04-14,7.9,8.07,8.27,7.86,152334400.0,1234079099.0,0.9927745809369697
2023-04-17,7.99,7.97,8.06,7.8,103153179.0,816074789.0,0.9927745809369697
2023-04-18,7.94,7.88,8.02,7.74,96379574.0,760749897.0,0.9927745809369697
2023-04-19,7.84,8.07,8.3,7.79,163828504.0,1337300295.0,0.9927745809369697
2023-04-20,8.02,8.16,8.29,8.02,121315488.0,987401021.0,0.9927745809369697
2023-04-21,8.23,7.64,8.23,7.61,153418617.0,1204624985.0,0.9927745809369697
2023-04-24,7.72,7.66,7.82,7.57,70085705.0,539395100.0,0.9927745809369697
2023-04-25,7.63,7.46,7.65,7.35,83777636.0,627201824.0,0.9927745809369697
2023-04-26,7.4,7.11,7.52,6.98,116266722.0,834785521.0,0.9927745809369697
2023-04-27,7.34,7.27,7.7,7.22,118319737.0,881145222.0,0.9927745809369697
2023-04-28,7.27,7.72,7.77,7.27,111126000.0,845064223.0,0.9927745809369697
2023-05-04,7.62,7.7,7.82,7.56,75456668.0,578702729.0,0.9927745809369697
2023-05-05,7.67,7.74,7.89,7.61,74081184.0,575188463.0,0.9927745809369697
2023-05-08,7.76,7.97,8.03,7.73,88333813.0,697827091.0,0.9927745809369697
2023-05-09,7.96,7.75,7.97,7.73,71098293.0,558821609.0,0.9927745809369697
2023-05-10,7.73,7.61,7.81,7.53,59616366.0,456043171.0,0.9927745809369697
2023-05-11,7.67,7.52,7.71,7.48,41483547.0,313560404.0,0.9927745809369697
2023-05-12,7.53,7.36,7.55,7.34,43743744.0,324620978.0,0.9927745809369697
2023-05-15,7.4,7.32,7.44,7.11,49514353.0,358641510.0,0.9927745809369697
2023-05-16,7.33,7.02,7.33,6.99,56635777.0,401563095.0,0.9927745809369697
2023-05-17,6.98,7.09,7.11,6.91,34255213.0,241446822.0,0.9927745809369697
2023-05-18,7.08,7.19,7.25,7.06,47077675.0,337862953.0,0.9927745809369697
2023-05-19,7.2,7.14,7.24,7.1,32083688.0,229811376.0,0.9927745809369697
2023-05-22,7.12,7.05,7.15,6.98,31625661.0,222698187.0,0.9927745809369697
2023-05-23,7.08,6.85,7.09,6.85,36411295.0,251720146.0,0.9927745809369697
2023-05-24,6.86,6.87,6.97,6.8,30616773.0,210688778.0,0.9927745809369697
2023-05-25,6.86,6.83,6.96,6.68,37433170.0,254521662.0,0.9927745809369697
2023-05-26,6.83,6.89,6.91,6.78,26881717.0,184316363.0,0.9927745809369697
2023-05-29,6.93,6.91,6.98,6.85,34214732.0,236813740.0,0.9927745809369697
2023-05-30,6.89,7.14,7.15,6.77,49072128.0,343097941.0,0.9927745809369697
2023-05-31,7.11,7.32,7.32,7.09,59217445.0,429996445.0,0.9927745809369697
2023-06-01,7.25,7.43,7.5,7.23,54617035.0,404550900.0,0.9927745809369697
2023-06-02,7.46,7.42,7.48,7.38,36724117.0,272662806.0,0.9927745809369697
2023-06-05,7.42,7.51,7.58,7.42,36845741.0,276759674.0,0.9927745809369697
2023-06-06,7.5,7.3,7.54,7.26,42681676.0,315896373.0,0.9927745809369697
2023-06-07,7.3,7.39,7.46,7.23,32907439.0,242605039.0,0.9927745809369697
2023-06-08,7.36,7.34,7.37,7.17,32405817.0,236010518.0,0.9927745809369697
2023-06-09,7.33,7.44,7.46,7.29,39040397.0,288346775.0,0.9927745809369697
2023-06-12,7.45,7.57,7.62,7.44,51882483.0,391090854.0,0.9927745809369697
2023-06-13,7.55,8.0,8.14,7.39,143594287.0,1129974930.0,0.9927745809369697
2023-06-14,7.95,8.18,8.23,7.89,132700621.0,1075919118.0,0.9927745809369697
