,open,close,high,low,volume,money,factor
2023-03-28,7.5,7.2,7.54,7.12,252488312.0,1852204232.0,1.0
2023-03-29,7.38,7.54,7.9,7.19,295750714.0,2226014625.0,1.0
2023-03-30,7.66,7.35,7.81,7.21,238626007.0,1791916768.0,1.0
2023-03-31,7.22,7.81,7.96,7.09,267267864.0,2004673037.0,1.0
2023-04-03,8.0,8.59,8.59,8.0,270535417.0,2250378249.0,1.0
2023-04-04,8.88,8.45,8.88,8.18,367083628.0,3109564904.0,1.0
2023-04-06,8.17,8.03,8.28,7.78,262853930.0,2116659571.0,1.0
2023-04-07,8.04,8.21,8.29,7.84,186417312.0,1514247781.0,1.0
2023-04-10,8.01,7.45,8.15,7.39,241594597.0,1863587167.0,1.0
2023-04-11,7.79,8.1,8.2,7.61,314601394.0,2518025212.0,1.0
2023-04-12,8.09,8.06,8.24,7.82,269043813.0,2168927210.0,1.0
2023-04-13,7.98,8.14,8.54,7.72,311139784.0,2544470292.0,1.0
2023-04-14,8.14,7.98,8.28,7.74,170257077.0,1361591567.0,1.0
2023-04-17,7.99,7.89,8.12,7.74,118111420.0,932535199.0,1.0
2023-04-18,7.98,7.85,8.05,7.62,134458265.0,1052473145.0,1.0
2023-04-19,7.85,8.16,8.48,7.8,229307918.0,1883203967.0,1.0
2023-04-20,8.58,8.98,8.98,8.58,131566607.0,1171428029.0,1.0
2023-04-21,9.59,8.69,9.66,8.69,436121034.0,4005387194.0,1.0
2023-04-24,8.58,8.32,8.84,8.2,297546227.0,2510867570.0,1.0
2023-04-25,8.2,8.96,9.15,8.05,348784600.0,3030929830.0,1.0
2023-04-26,8.77,8.4,8.95,8.16,267488675.0,2279147596.0,1.0
2023-04-27,8.19,7.76,8.36,7.56,212842322.0,1682093374.0,1.0
2023-04-28,7.7,8.3,8.35,7.7,169516021.0,1380481440.0,1.0
2023-05-04,8.3,8.6,8.74,8.03,210908610.0,1772499804.0,1.0
2023-05-05,8.54,9.11,9.35,8.48,297317613.0,2669433364.0,1.0
2023-05-08,9.11,10.02,10.02,8.78,375630858.0,3591641363.0,1.0
2023-05-09,9.89,10.04,10.55,9.73,341821689.0,3453482659.0,1.0
2023-05-10,9.98,9.74,10.44,9.55,256723669.0,2555445111.0,1.0
2023-05-11,9.8,9.24,9.93,9.14,226662659.0,2152906987.0,1.0
2023-05-12,9.17,8.94,9.34,8.91,141642253.0,1286306303.0,1.0
2023-05-15,8.94,8.55,9.0,8.27,219306317.0,1875533569.0,1.0
2023-05-16,8.59,8.04,8.59,7.98,180490353.0,1477261287.0,1.0
2023-05-17,8.01,8.17,8.36,7.97,126910480.0,1040074871.0,1.0
2023-05-18,8.09,8.33,8.53,8.07,160918587.0,1344478247.0,1.0
2023-05-19,8.27,8.1,8.54,8.06,126653481.0,1047546379.0,1.0
2023-05-22,8.1,8.07,8.23,7.92,88682571.0,714397178.0,1.0
2023-05-23,8.06,7.76,8.07,7.76,95750254.0,751638101.0,1.0
2023-05-24,7.7,7.79,7.92,7.61,78163643.0,608412329.0,1.0
2023-05-25,7.86,7.94,8.11,7.56,111453610.0,873631284.0,1.0
2023-05-26,7.83,8.21,8.26,7.82,140695064.0,1142698649.0,1.0
2023-05-29,8.25,8.0,8.31,7.98,111455509.0,907011351.0,1.0
2023-05-30,7.91,8.5,8.5,7.78,171113206.0,1408996060.0,1.0
2023-05-31,8.56,8.44,8.61,8.34,125861968.0,1063923048.0,1.0
2023-06-01,8.31,8.83,9.18,8.28,201935971.0,1779577134.0,1.0
2023-06-02,8.86,8.76,9.11,8.63,153558870.0,1358090876.0,1.0
2023-06-05,8.67,8.76,8.97,8.67,119454597.0,1049303598.0,1.0
2023-06-06,8.66,8.32,8.79,8.3,121302450.0,1035782511.0,1.0
2023-06-07,8.35,8.33,8.45,8.2,94352861.0,786660051.0,1.0
2023-06-08,8.24,8.46,8.62,8.03,155909769.0,1298040511.0,1.0
2023-06-09,8.42,8.92,8.98,8.41,200585751.0,1764659820.0,1.0
2023-06-12,8.98,8.84,9.08,8.79,138600714.0,1231212080.0,1.0
2023-06-13,8.81,9.18,9.27,8.66,209518729.0,1906398058.0,1.0
2023-06-14,9.18,9.33,9.38,9.04,203643523.0,1876904225.0,1.0
2023-06-15,9.27,9.01,9.28,8.96,161010128.0,1464838276.0,1.0
2023-06-16,8.96,9.38,9.47,8.83,191354633.0,1769091608.0,1.0
2023-06-19,9.3,9.59,9.78,9.27,217519516.0,2069406253.0,1.0
2023-06-20,9.45,9.4,9.6,9.19,163521864.0,1530861874.0,1.0
2023-06-21,9.45,8.62,9.49,8.6,211617586.0,1884727580.0,1.0
2023-06-26,8.54,8.05,8.62,7.99,162206874.0,1340046560.0,1.0
2023-06-27,8.09,8.15,8.25,8.01,82909842.0,675064065.0,1.0
2023-06-28,8.07,8.01,8.14,7.67,119820441.0,944989235.0,1.0
2023-06-29,7.97,8.0,8.08,7.86,80863196.0,644462621.0,1.0
2023-06-30,7.96,8.12,8.18,7.89,77804395.0,627309298.0,1.0
2023-07-03,8.12,8.14,8.19,7.91,81568158.0,657065234.0,1.0
2023-07-04,8.1,8.07,8.17,8.01,69320174.0,559337468.0,1.0
2023-07-05,8.07,7.96,8.12,7.92,70667041.0,567020714.0,1.0
2023-07-06,7.94,8.04,8.19,7.9,79350018.0,641616032.0,1.0
2023-07-07,7.99,7.84,8.0,7.69,85508658.0,667863586.0,1.0
2023-07-10,7.87,7.81,7.9,7.73,51871431.0,404295707.0,1.0
2023-07-11,7.8,7.8,8.03,7.76,70454789.0,553783712.0,1.0
2023-07-12,7.76,7.4,7.78,7.4,117331377.0,884154095.0,1.0
2023-07-13,7.47,7.57,7.66,7.38,81296217.0,610396721.0,1.0
2023-07-14,7.57,7.8,7.9,7.55,86971674.0,674734795.0,1.0
2023-07-17,7.76,7.73,7.85,7.67,55971407.0,433369053.0,1.0
2023-07-18,7.75,7.63,7.78,7.63,42708916.0,328408592.0,1.0
2023-07-19,7.64,7.62,7.72,7.58,35752258.0,273193297.0,1.0
2023-07-20,7.63,7.38,7.64,7.36,60443551.0,451614370.0,1.0
2023-07-21,7.38,7.34,7.44,7.3,42538671.0,313261287.0,1.0
2023-07-24,7.34,7.51,7.7,7.3,64124627.0,483385118.0,1.0
2023-07-25,7.59,7.58,7.7,7.51,52595814.0,400413996.0,1.0
2023-07-26,7.58,7.36,7.6,7.32,51670569.0,382115810.0,1.0
2023-07-27,7.33,7.2,7.39,7.18,51073888.0,370737876.0,1.0
2023-07-28,7.22,7.31,7.39,7.13,49314360.0,358259327.0,1.0
2023-07-31,7.31,7.35,7.43,7.2,48318772.0,355220320.0,1.0
2023-08-01,7.35,7.4,7.47,7.23,44264498.0,325475597.0,1.0
2023-08-02,7.36,7.37,7.42,7.29,28458580.0,209141269.0,1.0
2023-08-03,7.31,7.37,7.41,7.31,29378464.0,216400068.0,1.0
2023-08-04,7.37,7.62,7.7,7.36,87706614.0,667287647.0,1.0
2023-08-07,7.63,7.62,7.75,7.6,57898297.0,443643655.0,1.0
2023-08-08,7.63,7.55,7.65,7.53,34115782.0,258149904.0,1.0
2023-08-09,7.52,7.4,7.61,7.38,34214626.0,256109974.0,1.0
2023-08-10,7.38,7.29,7.43,7.24,33488174.0,245285322.0,1.0
2023-08-11,7.29,7.15,7.33,7.13,28925008.0,208774233.0,1.0
2023-08-14,7.08,7.25,7.28,7.05,35792729.0,256078062.0,1.0
2023-08-15,7.27,7.15,7.3,7.08,29581779.0,211946864.0,1.0
2023-08-16,7.08,6.99,7.17,6.91,43469408.0,305476112.0,1.0
2023-08-17,6.95,7.06,7.09,6.9,31268715.0,219439131.0,1.0
2023-08-18,7.04,6.83,7.13,6.81,41533412.0,288118783.0,1.0
2023-08-21,6.78,6.87,7.02,6.77,36186249.0,250970470.0,1.0
2023-08-22,6.95,7.17,7.2,6.95,66060394.0,466885094.0,1.0
2023-08-23,7.14,6.97,7.14,6.96,53090956.0,373430809.0,1.0
2023-08-24,7.05,7.0,7.12,6.99,47792859.0,336886450.0,1.0
2023-08-25,6.96,6.69,6.99,6.64,69877322.0,472221807.0,1.0
2023-08-28,7.09,6.81,7.13,6.78,74003573.0,516800652.0,1.0
2023-08-29,6.79,7.09,7.14,6.76,65032841.0,456635155.0,1.0
2023-08-30,7.1,7.15,7.2,7.03,56710417.0,404178172.0,1.0
2023-08-31,7.12,7.17,7.2,7.06,36611811.0,261438750.0,1.0
2023-09-01,7.15,7.01,7.17,6.98,35819914.0,252684641.0,1.0
2023-09-04,7.05,7.09,7.09,6.97,38148278.0,267939781.0,1.0
2023-09-05,7.05,7.03,7.18,7.01,37404353.0,265120648.0,1.0
2023-09-06,7.0,7.05,7.05,6.87,39832959.0,277723210.0,1.0
2023-09-07,6.95,6.84,6.99,6.83,41318700.0,285114288.0,1.0
2023-09-08,6.82,6.89,6.97,6.7,41539520.0,283770475.0,1.0
2023-09-11,6.9,7.58,7.58,6.86,108112428.0,793512715.0,1.0
2023-09-12,7.79,7.85,8.0,7.47,306106581.0,2364603932.0,1.0
2023-09-13,7.72,7.51,7.74,7.44,131004018.0,989071249.0,1.0
2023-09-14,7.53,7.3,7.58,7.27,97648887.0,722912842.0,1.0
2023-09-15,7.45,7.75,7.89,7.35,221161691.0,1696763929.0,1.0
2023-09-18,7.5,8.0,8.49,7.43,267822892.0,2121569283.0,1.0
2023-09-19,7.83,7.64,7.86,7.6,141649039.0,1090658227.0,1.0
2023-09-20,7.76,7.66,7.92,7.62,117050933.0,908238314.0,1.0
2023-09-21,7.51,7.59,7.7,7.43,104660681.0,791031921.0,1.0
2023-09-22,7.52,7.76,7.81,7.45,118589914.0,908544438.0,1.0
2023-09-25,7.76,7.69,7.84,7.68,96238995.0,746177454.0,1.0
2023-09-26,7.59,7.45,7.65,7.44,81471296.0,612091251.0,1.0
2023-09-27,7.41,7.26,7.45,7.26,72934653.0,534671071.0,1.0
2023-09-28,7.3,7.27,7.34,7.22,53587002.0,390087593.0,1.0
2023-10-09,7.25,7.32,7.39,7.21,48125292.0,351655667.0,1.0
2023-10-10,7.36,7.57,7.62,7.3,94526727.0,708472946.0,1.0
2023-10-11,7.51,7.51,7.67,7.46,73395415.0,554221204.0,1.0
2023-10-12,7.52,7.61,7.74,7.49,72576900.0,552651773.0,1.0
2023-10-13,7.54,7.38,7.55,7.36,65874000.0,489608737.0,1.0
2023-10-16,7.36,8.12,8.12,7.33,210376490.0,1660317961.0,1.0
2023-10-17,8.33,8.13,8.33,7.96,291318353.0,2377331449.0,1.0
2023-10-18,8.28,8.41,8.78,8.12,321821761.0,2703456511.0,1.0
2023-10-19,8.35,8.1,8.63,8.09,245333754.0,2045533346.0,1.0
2023-10-20,7.99,8.26,8.52,7.72,231691710.0,1883388160.0,1.0
2023-10-23,7.66,7.89,8.21,7.66,179777120.0,1415834053.0,1.0
2023-10-24,7.81,7.7,7.88,7.46,146881869.0,1124795655.0,1.0
2023-10-25,7.72,8.47,8.47,7.7,184995270.0,1533159514.0,1.0
2023-10-26,8.46,8.63,8.74,8.34,327622855.0,2806621747.0,1.0
2023-10-27,8.45,8.49,8.76,8.33,172270217.0,1463905375.0,1.0
2023-10-30,8.35,8.59,8.7,8.31,190293395.0,1622966649.0,1.0
2023-10-31,8.6,8.3,8.61,8.24,139327964.0,1166891021.0,1.0
2023-11-01,8.26,8.15,8.54,8.15,111244493.0,923002155.0,1.0
2023-11-02,8.19,8.24,8.45,8.1,120830856.0,1001719246.0,1.0
2023-11-03,8.17,8.51,8.55,8.1,136950552.0,1147541507.0,1.0
2023-11-06,8.51,8.6,8.64,8.4,143813446.0,1225358724.0,1.0
2023-11-07,8.53,8.86,8.95,8.48,202677370.0,1787162704.0,1.0
2023-11-08,8.96,8.7,9.05,8.65,226331836.0,1992095198.0,1.0
2023-11-09,8.61,8.46,8.68,8.44,134776181.0,1151287296.0,1.0
2023-11-10,8.45,8.54,8.63,8.42,104114043.0,888858318.0,1.0
2023-11-13,8.56,8.83,8.88,8.46,149052382.0,1296941668.0,1.0
2023-11-14,8.85,8.77,8.89,8.68,119033826.0,1042750783.0,1.0
2023-11-15,8.82,8.73,8.99,8.71,140939945.0,1245908965.0,1.0
2023-11-16,8.69,8.89,9.1,8.55,184565348.0,1649284261.0,1.0
2023-11-17,8.85,8.72,8.86,8.6,119175083.0,1038433050.0,1.0
2023-11-20,8.73,8.76,8.88,8.67,92112133.0,807450678.0,1.0
2023-11-21,8.76,8.48,8.8,8.48,111634491.0,963118090.0,1.0
2023-11-22,8.41,8.29,8.6,8.28,96064149.0,809229325.0,1.0
2023-11-23,8.28,8.32,8.36,8.14,67878746.0,561036976.0,1.0
2023-11-24,8.34,8.08,8.36,8.05,67532934.0,549271336.0,1.0
2023-11-27,8.08,8.12,8.22,8.02,53212480.0,431216706.0,1.0
2023-11-28,8.06,8.15,8.18,8.02,40645538.0,329576172.0,1.0
2023-11-29,8.12,8.12,8.18,8.04,37855221.0,307096138.0,1.0
2023-11-30,8.13,8.1,8.14,7.9,67245710.0,539112507.0,1.0
2023-12-01,8.05,8.23,8.25,8.02,58118439.0,474532520.0,1.0
2023-12-04,8.24,8.19,8.33,8.16,55062298.0,454171218.0,1.0
2023-12-05,8.11,7.82,8.14,7.81,64593211.0,513376039.0,1.0
2023-12-06,7.77,7.76,7.85,7.68,46861304.0,363968856.0,1.0
2023-12-07,7.75,7.91,7.94,7.74,46143828.0,362862439.0,1.0
2023-12-08,7.91,8.17,8.27,7.89,96915169.0,790854702.0,1.0
2023-12-11,8.2,8.28,8.29,8.13,59248924.0,487169203.0,1.0
2023-12-12,8.29,8.21,8.33,8.18,42573653.0,351461328.0,1.0
2023-12-13,8.22,8.09,8.27,8.08,35733960.0,291674682.0,1.0
2023-12-14,8.11,8.06,8.21,8.05,28591647.0,232129516.0,1.0
2023-12-15,8.06,7.85,8.1,7.84,45435425.0,360338247.0,1.0
2023-12-18,7.85,7.72,7.89,7.69,30884854.0,240091781.0,1.0
2023-12-19,7.7,7.76,7.83,7.66,31800964.0,246387496.0,1.0
2023-12-20,7.77,7.47,7.79,7.46,45924642.0,347701585.07,1.0
2023-12-21,7.41,7.48,7.52,7.33,43012630.0,319391431.87,1.0
2023-12-22,7.49,7.31,7.49,7.28,37477657.0,276098336.82,1.0
2023-12-25,7.3,7.26,7.36,7.18,25268245.0,183280774.0,1.0
2023-12-26,7.24,7.04,7.24,7.01,37166438.0,263336049.17,1.0
2023-12-27,7.04,7.2,7.24,7.03,29333726.0,209860555.46,1.0
2023-12-28,7.18,7.3,7.37,7.11,35716348.0,259500375.0,1.0
2023-12-29,7.32,7.35,7.38,7.29,29323471.0,215163924.1,1.0
2024-01-02,7.38,7.26,7.4,7.24,26953380.0,196319019.98,1.0
2024-01-03,7.23,7.19,7.29,7.1,26400750.0,189608768.08,1.0
2024-01-04,7.16,7.12,7.24,7.08,24126270.0,172430820.94,1.0
2024-01-05,7.13,6.96,7.14,6.93,32468171.0,227911395.0,1.0
2024-01-08,6.93,6.78,6.98,6.77,31344520.0,214745695.0,1.0
2024-01-09,6.79,6.8,6.9,6.7,29823401.0,202808570.68,1.0
2024-01-10,6.75,6.6,6.79,6.59,28351152.0,188540172.99,1.0
2024-01-11,6.62,6.75,6.78,6.61,29619353.0,199018868.0,1.0
2024-01-12,6.72,6.65,6.75,6.62,22565587.0,150643255.0,1.0
2024-01-15,6.63,6.59,6.65,6.52,21236214.0,139900287.71,1.0
2024-01-16,6.6,6.53,6.61,6.41,26608236.0,172575744.0,1.0
2024-01-17,6.53,6.38,6.57,6.37,26512856.0,171537588.42,1.0
2024-01-18,6.37,6.37,6.41,6.17,38378251.0,240589417.96,1.0
2024-01-19,6.37,6.27,6.43,6.23,23269128.0,147456243.87,1.0
2024-01-22,6.26,5.9,6.31,5.85,40628072.0,246768630.77,1.0
2024-01-23,5.93,6.03,6.07,5.88,36394544.0,218079119.75,1.0
2024-01-24,6.08,6.2,6.21,5.9,43177914.0,262867784.0,1.0
2024-01-25,6.27,6.41,6.44,6.21,50039363.0,316960855.53,1.0
2024-01-26,6.36,6.39,6.49,6.32,37519479.0,240717815.0,1.0
2024-01-29,6.4,6.21,6.46,6.2,32844461.0,206282132.08,1.0
2024-01-30,6.19,6.05,6.28,6.02,30592713.0,188296348.77,1.0
2024-01-31,6.01,5.7,6.08,5.68,44411157.0,260053140.89,1.0
2024-02-01,5.7,5.66,5.85,5.58,41287468.0,235289669.61,1.0
2024-02-02,5.69,5.35,5.82,5.09,65620484.0,355855690.18,1.0
2024-02-05,5.45,5.0,5.53,4.94,90640104.0,468224636.11,1.0
2024-02-06,5.0,5.32,5.39,4.84,71730381.0,365591987.43,1.0
2024-02-07,5.32,5.59,5.64,5.32,74852505.0,414333155.95,1.0
2024-02-08,5.58,5.8,5.95,5.55,65964683.0,384007045.29,1.0
2024-02-19,5.9,6.11,6.12,5.83,88092289.0,525244441.57,1.0
2024-02-20,6.03,6.03,6.06,5.89,59160373.0,353479212.09,1.0
2024-02-21,5.96,6.04,6.21,5.92,57867786.0,352285001.37,1.0
2024-02-22,6.2,6.25,6.41,6.14,71915716.0,450154487.27,1.0
2024-02-23,6.32,6.38,6.41,6.23,68430037.0,433676994.09,1.0
2024-02-26,6.41,6.57,6.67,6.37,84134278.0,550329997.72,1.0
2024-02-27,6.47,6.86,6.88,6.44,94121944.0,629304262.21,1.0
2024-02-28,6.84,6.43,7.04,6.38,115229661.0,780195628.62,1.0
2024-02-29,6.36,6.75,6.76,6.32,71308398.0,473491521.61,1.0
2024-03-01,6.78,7.04,7.05,6.76,110414284.0,767717648.96,1.0
2024-03-04,7.2,7.05,7.2,6.9,107302334.0,755961209.65,1.0
2024-03-05,6.94,6.9,7.03,6.8,86220759.0,596334679.62,1.0
2024-03-06,6.83,6.88,6.95,6.78,50199332.0,344632213.58,1.0
2024-03-07,6.9,6.69,6.92,6.67,61082757.0,414504218.77,1.0
2024-03-08,6.69,6.78,6.8,6.64,40141172.0,270073567.86,1.0
2024-03-11,6.77,6.98,6.98,6.67,69102783.0,476018288.81,1.0
2024-03-12,6.98,6.91,7.03,6.87,51130088.0,354566609.38,1.0
2024-03-13,6.97,6.96,7.03,6.91,58549723.0,408418080.72,1.0
2024-03-14,6.93,6.89,6.97,6.79,49561909.0,341424861.84,1.0
2024-03-15,6.89,6.92,6.93,6.78,41702558.0,285727039.09,1.0
2024-03-18,6.96,7.01,7.02,6.94,49942449.0,349058729.61,1.0
2024-03-19,7.01,6.93,7.02,6.91,45947099.0,319607035.71,1.0
2024-03-20,6.93,6.99,7.02,6.86,57202600.0,397495768.08,1.0
2024-03-21,7.06,6.99,7.14,6.99,53265289.0,375448269.75,1.0
2024-03-22,6.97,7.2,7.52,6.81,150732442.0,1081443161.87,1.0
2024-03-25,7.33,6.85,7.34,6.84,131582867.0,928493277.13,1.0
2024-03-26,6.78,6.66,6.9,6.59,74049676.0,498023241.77,1.0
2024-03-27,6.65,6.23,6.66,6.23,64029932.0,409396588.29,1.0
2024-03-28,6.23,6.52,6.62,6.23,77250481.0,500227087.81,1.0
