,open,close,high,low,volume,money,factor
2023-03-28,9.05,8.81,9.06,8.8,20736533.0,184564694.0,1.0
2023-03-29,8.84,8.83,8.98,8.79,18247600.0,162067982.0,1.0
2023-03-30,8.89,8.69,8.96,8.68,16560460.0,145389115.0,1.0
2023-03-31,8.66,8.78,8.79,8.55,17235422.0,149822932.0,1.0
2023-04-03,8.77,8.98,9.04,8.75,22961460.0,205342183.0,1.0
2023-04-04,9.06,8.93,9.2,8.83,32936584.0,297108362.0,1.0
2023-04-06,8.83,8.74,8.87,8.68,20063740.0,176134928.0,1.0
2023-04-07,8.74,8.86,8.9,8.67,15136896.0,133141074.0,1.0
2023-04-10,8.88,8.54,8.98,8.5,21498120.0,186827667.0,1.0
2023-04-11,8.51,8.62,8.74,8.43,15613820.0,134534704.0,1.0
2023-04-12,8.83,8.92,8.94,8.76,26784685.0,237651188.0,1.0
2023-04-13,8.84,8.57,8.9,8.56,22702900.0,197283867.0,1.0
2023-04-14,8.61,8.64,8.67,8.42,15350600.0,131354424.0,1.0
2023-04-17,8.59,8.4,8.59,8.37,15370240.0,129771849.0,1.0
2023-04-18,8.4,8.29,8.42,8.21,13063900.0,108283321.0,1.0
2023-04-19,8.26,8.25,8.38,8.23,10923985.0,90707222.0,1.0
2023-04-20,8.21,8.3,8.33,8.2,10145780.0,83804162.0,1.0
2023-04-21,8.26,7.88,8.28,7.88,19983875.0,160695239.0,1.0
2023-04-24,7.89,7.89,8.02,7.85,9554700.0,75671115.0,1.0
2023-04-25,7.86,7.63,7.89,7.5,14625120.0,111980904.0,1.0
2023-04-26,7.59,7.64,7.79,7.53,11349260.0,87051030.0,1.0
2023-04-27,7.57,7.61,7.71,7.55,8958200.0,68477863.0,1.0
2023-04-28,7.83,7.88,7.94,7.72,16608200.0,130195330.0,1.0
2023-05-04,7.59,7.63,7.71,7.48,20412768.0,154854306.0,1.0
2023-05-05,7.62,7.65,7.77,7.45,18390254.0,140048846.0,1.0
2023-05-08,7.65,7.85,7.94,7.64,15843340.0,124122002.0,1.0
2023-05-09,7.82,7.6,7.82,7.6,13814380.0,106409295.0,1.0
2023-05-10,7.6,7.61,7.76,7.53,9285740.0,70967982.0,1.0
2023-05-11,7.66,7.81,7.82,7.6,11315560.0,87356925.0,1.0
2023-05-12,7.79,7.48,7.79,7.48,12870385.0,97846248.0,1.0
2023-05-15,7.48,7.48,7.49,7.33,9370054.0,69375587.0,1.0
2023-05-16,7.86,7.58,8.0,7.49,25170334.0,193668466.0,1.0
2023-05-17,7.5,7.65,7.68,7.35,12779304.0,96388353.0,1.0
2023-05-18,7.67,7.69,7.78,7.63,13059708.0,100738424.0,1.0
2023-05-19,7.69,7.64,7.75,7.6,8237523.0,63083547.0,1.0
2023-05-22,7.64,7.74,7.92,7.58,15423125.0,119359738.0,1.0
2023-05-23,7.74,7.55,7.75,7.55,10321960.0,78796783.0,1.0
2023-05-24,7.54,7.74,7.83,7.51,14864082.0,114682638.0,1.0
2023-05-25,7.73,7.84,7.87,7.56,17401080.0,134404533.0,1.0
2023-05-26,7.78,7.92,7.96,7.73,14617499.0,114722814.0,1.0
2023-05-29,7.92,7.86,8.0,7.85,13730095.0,108787897.0,1.0
2023-05-30,7.88,8.18,8.24,7.79,32722780.0,265501446.0,1.0
2023-05-31,8.12,8.1,8.22,8.06,18918376.0,153592133.0,1.0
2023-06-01,8.11,8.09,8.14,8.02,13587020.0,109872227.0,1.0
2023-06-02,8.1,8.1,8.26,8.08,14551036.0,118660160.0,1.0
2023-06-05,8.06,8.17,8.24,8.06,11649696.0,95252514.0,1.0
2023-06-06,8.24,8.15,8.49,8.11,27104380.0,224234367.0,1.0
2023-06-07,8.15,8.3,8.36,8.08,21586240.0,178108887.0,1.0
2023-06-08,8.4,8.41,8.59,8.33,30103353.0,254267486.0,1.0
2023-06-09,8.28,8.24,8.34,8.16,20772580.0,171060185.0,1.0
