,open,close,high,low,volume,money,factor
2023-03-28,32.52,32.35,33.33,31.0,4005935.0,128823550.0,1.0
2023-03-29,32.02,32.59,33.5,31.3,2479053.0,80266239.0,1.0
2023-03-30,32.47,34.49,35.96,31.6,6536818.0,224998882.0,1.0
2023-03-31,35.0,33.1,35.1,31.99,5009066.0,165498372.0,1.0
2023-04-03,33.01,33.91,34.37,31.82,4838188.0,159703820.0,1.0
2023-04-04,34.01,32.28,34.24,31.62,3668495.0,119841893.0,1.0
2023-04-06,31.5,31.8,32.75,31.4,2277992.0,72937553.0,1.0
2023-04-07,32.12,32.79,33.24,31.49,2117747.0,69070600.0,1.0
2023-04-10,31.89,32.83,35.49,31.89,3994427.0,134701766.0,1.0
2023-04-11,32.64,34.0,34.18,31.18,4386333.0,144307633.0,1.0
2023-04-12,34.94,34.27,34.94,32.6,3726108.0,125156622.0,1.0
2023-04-13,34.33,35.7,36.28,33.5,4414778.0,154144041.0,1.0
2023-04-14,34.81,34.05,35.8,33.73,3254282.0,112374401.0,1.0
2023-04-17,34.11,32.19,34.11,31.72,2524081.0,82713999.0,1.0
2023-04-18,32.27,32.2,32.66,31.69,1085050.0,34900874.0,1.0
2023-04-19,31.77,32.2,33.32,31.77,1711650.0,55782730.0,1.0
2023-04-20,32.2,31.36,32.8,31.26,2408590.0,76887888.0,1.0
2023-04-21,31.86,28.79,32.1,28.67,2886346.0,86994624.0,1.0
2023-04-24,28.81,28.54,29.3,27.99,2513643.0,71785191.0,1.0
2023-04-25,28.82,28.05,28.82,27.2,1830996.0,50694837.0,1.0
2023-04-26,28.27,27.02,28.69,26.7,1564754.0,42886225.0,1.0
2023-04-27,26.89,26.91,27.39,26.55,1283230.0,34607153.0,1.0
2023-04-28,21.53,21.53,21.53,21.53,797171.0,17163092.0,1.0
2023-05-04,21.53,21.53,21.53,21.53,0.0,0.0,1.0
2023-05-05,17.22,17.22,17.22,17.22,629054.0,10832310.0,1.0
2023-05-08,15.96,14.95,16.37,14.5,12565575.0,192524304.0,1.0
2023-05-09,14.8,14.03,14.81,14.03,5368185.0,76914129.0,1.0
2023-05-10,14.2,14.56,14.7,14.1,3893850.0,56050639.0,1.0
2023-05-11,14.68,14.99,15.98,14.59,4546546.0,69393029.0,1.0
2023-05-12,15.44,15.04,15.5,14.87,2770905.0,42094749.0,1.0
2023-05-15,15.23,15.2,15.52,14.88,2070790.0,31357540.0,1.0
2023-05-16,15.17,14.98,15.48,14.94,1970703.0,29821640.0,1.0
2023-05-17,14.9,15.85,15.88,14.9,1636012.0,25367663.0,1.0
2023-05-18,15.94,15.97,16.49,15.84,1070748.0,17270602.0,1.0
2023-05-19,15.88,16.08,16.11,15.4,865482.0,13730473.0,1.0
2023-05-22,15.96,17.3,17.35,15.57,2242736.0,37050965.0,1.0
2023-05-23,17.05,17.88,17.92,17.01,2150931.0,37787708.0,1.0
