,open,close,high,low,volume,money,factor
2023-03-28,,,,,,,
2023-03-29,,,,,,,
2023-03-30,,,,,,,
2023-03-31,,,,,,,
2023-04-03,,,,,,,
2023-04-04,,,,,,,
2023-04-06,,,,,,,
2023-04-07,,,,,,,
2023-04-10,,,,,,,
2023-04-11,,,,,,,
2023-04-12,,,,,,,
2023-04-13,,,,,,,
2023-04-14,,,,,,,
2023-04-17,,,,,,,
2023-04-18,,,,,,,
2023-04-19,,,,,,,
2023-04-20,,,,,,,
2023-04-21,,,,,,,
2023-04-24,,,,,,,
2023-04-25,,,,,,,
2023-04-26,,,,,,,
2023-04-27,,,,,,,
2023-04-28,,,,,,,
2023-05-04,,,,,,,
2023-05-05,,,,,,,
2023-05-08,,,,,,,
2023-05-09,,,,,,,
2023-05-10,,,,,,,
2023-05-11,,,,,,,
2023-05-12,,,,,,,
2023-05-15,,,,,,,
2023-05-16,,,,,,,
2023-05-17,,,,,,,
2023-05-18,,,,,,,
2023-05-19,,,,,,,
2023-05-22,,,,,,,
2023-05-23,,,,,,,
2023-05-24,,,,,,,
2023-05-25,,,,,,,
2023-05-26,,,,,,,
2023-05-29,,,,,,,
2023-05-30,,,,,,,
2023-05-31,,,,,,,
2023-06-01,,,,,,,
2023-06-02,,,,,,,
2023-06-05,,,,,,,
2023-06-06,,,,,,,
2023-06-07,,,,,,,
2023-06-08,,,,,,,
2023-06-09,,,,,,,
2023-06-12,,,,,,,
2023-06-13,,,,,,,
2023-06-14,,,,,,,
2023-06-15,,,,,,,
2023-06-16,,,,,,,
2023-06-19,,,,,,,
2023-06-20,,,,,,,
2023-06-21,,,,,,,
2023-06-26,,,,,,,
2023-06-27,,,,,,,
2023-06-28,,,,,,,
2023-06-29,,,,,,,
2023-06-30,,,,,,,
2023-07-03,,,,,,,
2023-07-04,,,,,,,
2023-07-05,,,,,,,
2023-07-06,,,,,,,
2023-07-07,,,,,,,
2023-07-10,,,,,,,
2023-07-11,,,,,,,
2023-07-12,,,,,,,
2023-07-13,,,,,,,
2023-07-14,,,,,,,
2023-07-17,,,,,,,
2023-07-18,,,,,,,
2023-07-19,,,,,,,
2023-07-20,,,,,,,
2023-07-21,,,,,,,
2023-07-24,,,,,,,
2023-07-25,,,,,,,
2023-07-26,,,,,,,
2023-07-27,,,,,,,
2023-07-28,,,,,,,
2023-07-31,,,,,,,
2023-08-01,,,,,,,
2023-08-02,,,,,,,
2023-08-03,,,,,,,
2023-08-04,,,,,,,
2023-08-07,,,,,,,
2023-08-08,,,,,,,
2023-08-09,,,,,,,
2023-08-10,,,,,,,
2023-08-11,,,,,,,
2023-08-14,,,,,,,
2023-08-15,,,,,,,
2023-08-16,,,,,,,
2023-08-17,,,,,,,
2023-08-18,,,,,,,
2023-08-21,,,,,,,
2023-08-22,,,,,,,
2023-08-23,,,,,,,
2023-08-24,,,,,,,
2023-08-25,,,,,,,
2023-08-28,,,,,,,
2023-08-29,,,,,,,
2023-08-30,,,,,,,
2023-08-31,,,,,,,
2023-09-01,,,,,,,
2023-09-04,,,,,,,
2023-09-05,,,,,,,
2023-09-06,,,,,,,
2023-09-07,,,,,,,
2023-09-08,,,,,,,
2023-09-11,,,,,,,
2023-09-12,,,,,,,
2023-09-13,,,,,,,
2023-09-14,,,,,,,
2023-09-15,,,,,,,
2023-09-18,,,,,,,
2023-09-19,,,,,,,
2023-09-20,,,,,,,
2023-09-21,,,,,,,
2023-09-22,,,,,,,
2023-09-25,,,,,,,
2023-09-26,,,,,,,
2023-09-27,,,,,,,
2023-09-28,,,,,,,
2023-10-09,,,,,,,
2023-10-10,,,,,,,
2023-10-11,,,,,,,
2023-10-12,,,,,,,
2023-10-13,,,,,,,
2023-10-16,,,,,,,
2023-10-17,,,,,,,
2023-10-18,,,,,,,
2023-10-19,,,,,,,
2023-10-20,,,,,,,
2023-10-23,,,,,,,
2023-10-24,,,,,,,
2023-10-25,,,,,,,
2023-10-26,,,,,,,
2023-10-27,,,,,,,
2023-10-30,,,,,,,
2023-10-31,,,,,,,
2023-11-01,,,,,,,
2023-11-02,,,,,,,
2023-11-03,,,,,,,
2023-11-06,,,,,,,
2023-11-07,,,,,,,
2023-11-08,,,,,,,
2023-11-09,,,,,,,
2023-11-10,,,,,,,
2023-11-13,,,,,,,
2023-11-14,,,,,,,
2023-11-15,,,,,,,
2023-11-16,,,,,,,
2023-11-17,,,,,,,
2023-11-20,,,,,,,
2023-11-21,,,,,,,
2023-11-22,,,,,,,
2023-11-23,,,,,,,
2023-11-24,,,,,,,
2023-11-27,,,,,,,
2023-11-28,70.59,65.47,73.53,63.24,19549800.0,1315411517.0,0.9803690893547602
2023-11-29,65.47,66.94,71.22,63.72,15465652.0,1038922008.0,0.9803690893547602
2023-11-30,62.74,57.35,63.65,56.76,14762518.0,877738408.0,0.9803690893547602
2023-12-01,54.9,52.86,57.43,52.63,13163832.0,712718543.0,0.9803690893547602
2023-12-04,51.96,51.06,54.79,51.01,10044686.0,529201034.0,0.9803690893547602
2023-12-05,50.48,48.12,50.88,47.87,9522990.0,469276460.0,0.9803690893547602
2023-12-06,48.12,48.42,49.51,47.94,6852759.0,333034667.0,0.9803690893547602
2023-12-07,48.04,48.4,49.47,47.17,6490789.0,313693580.0,0.9803690893547602
2023-12-08,48.32,47.55,49.0,46.39,7897676.0,377762604.0,0.9803690893547602
2023-12-11,46.94,49.66,49.88,46.67,7098088.0,343766085.0,0.9803690893547602
2023-12-12,49.01,47.94,49.39,47.23,6666952.0,321241225.0,0.9803690893547602
2023-12-13,48.97,47.74,49.26,47.74,5872374.0,284704980.0,0.9803690893547602
2023-12-14,47.2,45.39,48.29,45.32,7118952.0,331407980.0,0.9803690893547602
2023-12-15,44.97,45.1,46.37,44.32,4949292.0,224053261.0,0.9803690893547602
2023-12-18,44.38,44.82,45.98,44.38,3694414.0,167196803.0,0.9803690893547602
2023-12-19,44.98,45.78,46.17,44.7,3710302.0,168383824.0,0.9803690893547602
2023-12-20,45.77,45.16,47.03,44.98,5209566.0,240421202.85,0.9803690893547602
2023-12-21,44.63,44.7,45.23,43.33,4717709.0,209420233.62,0.9803690893547602
2023-12-22,44.7,43.83,45.79,43.64,4774809.0,213489602.02,0.9803690893547602
2023-12-25,43.23,43.58,44.88,42.94,3465649.0,151571906.67,0.9803690893547602
2023-12-26,43.56,42.33,43.62,41.86,3456183.0,146695672.14,0.9803690893547602
2023-12-27,42.39,43.04,43.04,41.47,2960910.0,125634805.81,0.9803690893547602
2023-12-28,44.06,43.36,44.31,42.49,5421064.0,235602988.0,0.9803690893547602
2023-12-29,43.14,44.72,45.03,43.13,4703534.0,208245270.87,0.9803690893547602
2024-01-02,44.61,43.36,45.0,43.14,3738160.0,164305499.9,0.9803690893547602
2024-01-03,43.17,42.35,43.44,41.65,3217393.0,136176281.8,0.9803690893547602
2024-01-04,42.03,42.5,43.21,41.7,2575716.0,109596747.38,0.9803690893547602
2024-01-05,42.72,41.94,43.2,41.53,2896596.0,122887549.3,0.9803690893547602
2024-01-08,41.57,41.24,42.86,41.18,2280764.0,95674972.92,0.9803690893547602
2024-01-09,41.52,41.31,42.62,40.69,3250671.0,135579212.04,0.9803690893547602
2024-01-10,41.08,41.26,41.85,39.88,2922430.0,119864142.09,0.9803690893547602
2024-01-11,40.99,42.2,42.37,40.79,2658700.0,111180241.98,0.9803690893547602
2024-01-12,42.11,40.76,42.31,40.73,2691134.0,111773351.23,0.9803690893547602
2024-01-15,40.47,39.82,40.47,39.46,2318344.0,92544143.04,0.9803690893547602
2024-01-16,39.75,39.1,39.75,38.51,2179051.0,84867673.02,0.9803690893547602
2024-01-17,38.92,37.7,39.5,37.67,1792075.0,68640789.7,0.9803690893547602
2024-01-18,37.7,37.25,37.89,36.53,1763609.0,65569189.64,0.9803690893547602
2024-01-19,37.13,37.3,38.71,36.35,3266566.0,122425307.98,0.9803690893547602
2024-01-22,36.76,34.3,37.2,34.0,2672028.0,95333796.68,0.9803690893547602
2024-01-23,34.21,34.34,34.96,33.93,1981091.0,68276994.0,0.9803690893547602
2024-01-24,34.61,35.0,35.0,33.25,2194788.0,74951548.36,0.9803690893547602
2024-01-25,35.0,35.77,35.98,34.23,2528821.0,89291193.9,0.9803690893547602
2024-01-26,35.76,35.56,36.33,35.47,2128790.0,76471266.52,0.9803690893547602
2024-01-29,37.09,35.61,38.33,35.57,5039824.0,186663992.16,0.9803690893547602
2024-01-30,34.25,33.49,34.96,33.43,3182948.0,108363709.29,0.9803690893547602
2024-01-31,33.11,31.37,33.79,31.34,2518206.0,81659636.27,0.9803690893547602
2024-02-01,31.37,31.32,32.22,30.35,1968034.0,61362417.0,0.9803690893547602
2024-02-02,31.13,29.12,31.91,27.74,3002670.0,89773289.0,0.9803690893547602
2024-02-05,28.73,25.31,28.8,24.53,3235262.0,84693578.86,0.9803690893547602
2024-02-06,25.02,26.74,26.92,23.55,3265515.0,83113082.28,0.9803690893547602
2024-02-07,26.48,23.95,26.67,23.94,3916751.0,99649595.4,0.9803690893547602
2024-02-08,25.1,26.59,26.6,24.22,4256957.0,108411026.49,0.9803690893547602
2024-02-19,27.45,28.92,28.93,27.45,4853995.0,136643935.66,0.9803690893547602
2024-02-20,29.71,34.71,34.71,28.92,5274894.0,172367236.37,0.9803690893547602
2024-02-21,32.35,33.66,34.8,32.26,8459350.0,283984992.37,0.9803690893547602
2024-02-22,33.33,36.0,37.1,33.33,8768934.0,308145486.4,0.9803690893547602
2024-02-23,35.91,38.72,38.75,34.82,9679536.0,354928092.92,0.9803690893547602
2024-02-26,39.38,38.04,40.93,37.74,10035505.0,394313641.08,0.9803690893547602
2024-02-27,39.19,40.34,42.35,39.19,10723079.0,431743241.9,0.9803690893547602
2024-02-28,39.07,35.09,39.88,35.09,9487364.0,359724956.37,0.9803690893547602
2024-02-29,34.1,36.73,36.82,34.1,5270467.0,190236465.77,0.9803690893547602
2024-03-01,36.37,37.01,37.45,36.2,4719645.0,174165686.17,0.9803690893547602
2024-03-04,36.71,36.2,37.33,35.37,4092545.0,148404800.68,0.9803690893547602
2024-03-05,36.15,38.05,38.05,35.17,6932535.0,255282472.49,0.9803690893547602
2024-03-06,38.18,40.98,42.32,37.74,11233452.0,452963524.56,0.9803690893547602
2024-03-07,39.84,40.17,43.07,38.88,9733793.0,397379151.19,0.9803690893547602
2024-03-08,42.59,41.11,44.9,40.78,9978489.0,423349378.09,0.9803690893547602
2024-03-11,40.19,41.11,42.16,40.19,6490841.0,267109925.47,0.9803690893547602
2024-03-12,40.7,39.76,40.95,39.7,5390454.0,216051388.8,0.9803690893547602
2024-03-13,39.81,41.08,41.11,39.37,5005351.0,201056777.1,0.9803690893547602
2024-03-14,40.87,42.78,43.02,39.65,7429325.0,307267849.67,0.9803690893547602
2024-03-15,42.94,45.9,46.7,41.86,10750473.0,481305298.99,0.9803690893547602
2024-03-18,45.22,45.37,46.07,43.96,8083742.0,363683744.86,0.9803690893547602
2024-03-19,44.43,44.05,46.83,44.03,7226234.0,327893818.34,0.9803690893547602
2024-03-20,42.95,43.59,43.92,42.63,4626905.0,199742886.93,0.9803690893547602
2024-03-21,43.14,42.25,43.89,41.37,4339141.0,185473089.01,0.9803690893547602
2024-03-22,41.89,41.58,42.57,41.39,3057367.0,128566935.88,0.9803690893547602
2024-03-25,41.03,41.8,42.65,40.0,3874253.0,160165619.64,0.9803690893547602
2024-03-26,41.22,38.89,41.84,38.67,3925248.0,157222374.7,0.9803690893547602
2024-03-27,38.9,36.25,39.24,36.09,3195158.0,118902603.58,0.9803690893547602
2024-03-28,36.25,37.4,37.94,35.21,2517822.0,93259940.15,0.9803690893547602
2024-03-29,37.05,38.12,38.23,36.66,2410239.0,90157881.72,0.9803690893547602
2024-04-01,38.88,39.65,40.17,38.15,4065210.0,159921378.94,0.9803690893547602
2024-04-02,39.31,38.04,39.65,37.72,2968645.0,114166498.93,0.9803690893547602
2024-04-03,37.85,36.49,37.99,36.32,2387521.0,88147467.11,0.9803690893547602
