,open,close,high,low,volume,money,factor
2023-03-28,63.87,60.78,70.32,59.09,10699018.0,685142438.0,0.71767472569551
2023-03-29,62.22,61.36,63.94,59.98,8297975.0,516297725.0,0.71767472569551
2023-03-30,61.38,58.52,61.43,56.68,8131638.0,478853495.0,0.71767472569551
2023-03-31,59.17,62.29,64.07,56.7,7995621.0,484576085.0,0.71767472569551
2023-04-03,61.78,64.61,64.79,58.49,10841747.0,667842184.0,0.71767472569551
2023-04-04,62.8,58.49,63.79,55.62,13254099.0,782913055.0,0.71767472569551
2023-04-06,54.91,52.38,56.51,51.84,11517113.0,614309437.0,0.71767472569551
2023-04-07,52.97,52.96,54.03,51.67,7206646.0,381573503.0,0.71767472569551
2023-04-10,55.84,50.1,57.84,49.43,12481267.0,669477894.0,0.71767472569551
2023-04-11,49.62,48.61,50.79,47.47,7609687.0,371425229.0,0.71767472569551
2023-04-12,48.68,50.75,50.88,48.23,6662641.0,331637079.0,0.71767472569551
2023-04-13,49.94,49.88,52.61,49.16,6973527.0,354535447.0,0.71767472569551
2023-04-14,49.96,47.93,50.37,47.37,6288016.0,304495786.0,0.71767472569551
2023-04-17,47.37,47.14,48.54,46.36,5139707.0,242677012.0,0.71767472569551
2023-04-18,47.01,47.14,48.08,45.87,4182726.0,196072479.0,0.71767472569551
2023-04-19,47.12,46.65,48.13,46.28,3923305.0,185331360.0,0.71767472569551
2023-04-20,46.58,47.88,48.49,46.28,5708576.0,270856540.0,0.71767472569551
2023-04-21,48.08,43.79,48.44,43.78,6504082.0,296906690.0,0.71767472569551
2023-04-24,44.52,44.12,45.18,43.79,3650091.0,162569210.0,0.71767472569551
2023-04-25,44.42,41.55,44.42,40.91,7408706.0,312920101.0,0.71767472569551
2023-04-26,41.98,40.71,42.48,39.98,4462072.0,183355293.0,0.71767472569551
2023-04-27,40.1,39.64,41.34,39.33,3406403.0,137026264.0,0.71767472569551
2023-04-28,39.64,40.53,41.37,39.17,4105591.0,165801737.0,0.71767472569551
2023-05-04,40.25,38.77,40.74,37.81,3245197.0,125732396.0,0.71767472569551
2023-05-05,38.75,40.21,41.06,38.5,5300744.0,212462583.0,0.71767472569551
2023-05-08,40.21,39.82,40.51,38.75,4071932.0,160394332.0,0.71767472569551
2023-05-09,39.27,39.26,40.88,39.23,3514649.0,140380951.0,0.71767472569551
2023-05-10,38.82,39.73,41.0,38.76,3681196.0,147022419.0,0.71767472569551
2023-05-11,40.32,40.13,41.65,39.21,4643562.0,186861425.0,0.71767472569551
2023-05-12,40.23,42.57,44.35,39.97,10685799.0,450559431.0,0.71767472569551
2023-05-15,43.49,39.59,44.35,38.16,8719315.0,350499392.0,0.71767472569551
2023-05-16,39.41,37.88,39.59,36.97,6653853.0,251981824.0,0.71767472569551
2023-05-17,38.52,39.47,39.62,38.12,4429266.0,173697303.0,0.71767472569551
2023-05-18,39.47,40.91,41.47,38.97,4651801.0,188059897.0,0.71767472569551
