,timestamp,open,high,low,close,volume
0,2023-05-01,22.73,22.88,21.54,21.96,3758634.21
1,2023-05-02,21.95,22.38,21.75,22.25,2566813.09
2,2023-05-03,22.25,22.3,21.23,22.24,4181975.28
3,2023-05-04,22.24,22.49,21.61,21.74,2529635.56
4,2023-05-05,21.74,23.07,21.56,22.82,3636404.07
5,2023-05-06,22.82,23.23,21.56,21.91,2849745.66
6,2023-05-07,21.91,22.78,21.63,21.66,2954384.97
7,2023-05-08,21.65,21.81,20.0,20.62,5254424.55
8,2023-05-09,20.63,21.0,20.4,20.65,2375473.6
9,2023-05-10,20.66,21.31,19.74,20.91,5057170.3
10,2023-05-11,20.92,20.93,19.69,20.17,3721715.1
11,2023-05-12,20.17,20.95,19.8,20.9,3076452.18
12,2023-05-13,20.91,21.29,20.77,20.84,1835421.61
13,2023-05-14,20.83,21.28,20.62,20.93,1553375.08
14,2023-05-15,20.93,21.52,20.6,20.99,2858317.83
15,2023-05-16,20.98,21.13,20.43,20.67,2722401.44
16,2023-05-17,20.68,21.23,20.42,21.06,2614414.01
17,2023-05-18,21.06,21.09,20.07,20.34,2624370.52
18,2023-05-19,20.35,20.59,20.21,20.36,1214543.49
19,2023-05-20,20.35,20.37,20.08,20.28,856718.98
20,2023-05-21,20.28,20.39,19.33,19.61,1976334.78
21,2023-05-22,19.61,20.03,19.28,19.53,2054927.32
22,2023-05-23,19.52,20.18,19.42,20.02,2466255.33
23,2023-05-24,20.02,20.07,18.66,19.22,2780601.57
24,2023-05-25,19.22,19.58,18.77,19.25,1692742.89
25,2023-05-26,19.25,19.56,19.08,19.35,1034272.52
26,2023-05-27,19.35,20.54,19.33,20.43,1565995.03
27,2023-05-28,20.42,21.19,20.29,20.81,2874459.57
28,2023-05-29,20.81,20.98,20.26,20.57,2222352.38
29,2023-05-30,20.57,21.4,20.46,21.25,3192653.91
30,2023-05-31,21.25,21.33,20.37,20.81,2050625.96
31,2023-06-01,20.82,20.98,20.41,20.49,1732297.47
32,2023-06-02,20.49,21.37,20.3,21.26,2068166.11
33,2023-06-03,21.26,21.35,20.95,21.19,1130915.88
34,2023-06-04,21.19,22.3,21.03,21.82,2800007.16
35,2023-06-05,21.83,22.06,19.03,20.0,6215040.24
36,2023-06-06,20.01,20.7,19.23,20.38,4383534.14
37,2023-06-07,20.38,20.53,18.5,18.64,3842270.95
38,2023-06-08,18.64,19.11,18.23,18.89,2669714.01
39,2023-06-09,18.88,19.37,17.11,17.4,4755455.49
40,2023-06-10,17.4,17.43,12.8,15.61,17211734.83
41,2023-06-11,15.61,16.18,15.11,15.55,6064017.28
42,2023-06-12,15.55,15.69,14.74,15.19,5195357.99
43,2023-06-13,15.19,16.0,14.76,15.04,4814274.27
44,2023-06-14,15.03,15.37,14.06,14.48,3978891.53
45,2023-06-15,14.49,15.08,14.18,14.77,4700648.85
46,2023-06-16,14.78,15.47,14.38,15.31,2809890.09
47,2023-06-17,15.32,16.12,15.16,15.64,2500321.4
48,2023-06-18,15.65,15.84,15.28,15.45,1603688.44
49,2023-06-19,15.45,16.14,15.34,16.1,1890318.27
50,2023-06-20,16.1,16.69,15.73,16.64,3005581.72
51,2023-06-21,16.65,17.4,16.54,17.23,4146918.99
52,2023-06-22,17.23,17.75,16.57,16.62,3547312.43
53,2023-06-23,16.62,17.53,16.16,17.13,4851596.52
54,2023-06-24,17.14,17.53,16.37,16.64,2908701.89
55,2023-06-25,16.64,17.38,16.57,16.96,2723041.25
56,2023-06-26,16.96,17.12,15.89,16.27,3056592.4
57,2023-06-27,16.27,16.93,16.13,16.63,2951107.45
58,2023-06-28,16.63,16.65,15.6,15.97,4040252.29
59,2023-06-29,15.98,18.28,15.87,17.99,7948251.73
60,2023-06-30,18.0,20.03,17.01,18.86,11454016.49
61,2023-07-01,18.85,19.0,17.9,18.7,3515091.93
62,2023-07-02,18.7,19.74,18.53,19.45,4872775.08
63,2023-07-03,19.46,19.66,18.87,19.26,3065186.84
64,2023-07-04,19.25,19.94,19.06,19.13,3096292.18
65,2023-07-05,19.14,19.53,18.32,19.0,2415908.51
66,2023-07-06,18.99,21.0,18.82,19.61,9598016.99
67,2023-07-07,19.61,21.9,19.26,21.5,9794096.48
68,2023-07-08,21.51,22.5,21.32,21.81,6473021.26
69,2023-07-09,21.82,22.38,20.99,21.32,3867361.76
70,2023-07-10,21.32,21.81,20.47,21.3,5671089.94
71,2023-07-11,21.3,22.37,21.2,22.07,4616810.71
72,2023-07-12,22.06,22.8,21.74,21.94,6086113.95
73,2023-07-13,21.93,26.82,21.42,26.01,16102139.02
74,2023-07-14,26.01,32.13,25.23,26.67,19571913.81
75,2023-07-15,26.67,29.12,26.45,27.46,11042658.65
76,2023-07-16,27.47,28.7,26.46,27.42,6708916.61
77,2023-07-17,27.41,28.49,25.55,26.8,8662837.64
78,2023-07-18,26.8,27.09,24.76,25.54,6327315.88
79,2023-07-19,25.54,26.99,25.35,26.31,4966905.24
80,2023-07-20,26.31,27.38,25.03,25.38,4977278.58
81,2023-07-21,25.38,26.0,25.06,25.5,3295444.38
82,2023-07-22,25.51,25.97,24.0,24.52,2382898.21
83,2023-07-23,24.52,25.26,24.15,24.76,2341589.79
84,2023-07-24,24.76,24.83,22.89,23.37,4042066.22
85,2023-07-25,23.36,23.6,22.73,23.27,2522195.44
86,2023-07-26,23.28,25.68,23.17,25.17,6033716.58
87,2023-07-27,25.18,25.65,24.66,25.1,4207657.06
88,2023-07-28,25.1,25.56,24.54,24.82,2736684.18
89,2023-07-29,24.82,25.39,24.75,25.17,1768964.07
90,2023-07-30,25.17,25.21,23.47,24.25,2774658.63
91,2023-07-31,24.25,24.79,23.52,23.73,3167365.08
92,2023-08-01,23.72,24.07,22.84,24.05,3598080.21
93,2023-08-02,24.06,24.29,22.82,23.15,3308680.67
94,2023-08-03,23.14,23.38,22.44,22.65,2981853.02
95,2023-08-04,22.65,23.57,22.48,22.8,3225053.92
96,2023-08-05,22.8,22.94,22.23,22.65,1781301.39
97,2023-08-06,22.66,23.48,22.58,23.2,2662470.7
98,2023-08-07,23.2,23.67,22.27,23.12,3303008.9
99,2023-08-08,23.11,24.79,23.02,24.22,4652753.86
100,2023-08-09,24.22,24.99,24.1,24.38,3857674.95
101,2023-08-10,24.39,24.89,24.13,24.62,2556841.66
102,2023-08-11,24.63,24.93,24.34,24.62,2415119.74
103,2023-08-12,24.63,25.24,24.4,24.91,1814019.36
104,2023-08-13,24.91,24.95,24.21,24.23,2013530.94
105,2023-08-14,24.22,25.3,24.06,25.18,2935003.9
106,2023-08-15,25.19,25.42,23.74,23.9,3856498.57
107,2023-08-16,23.91,24.03,22.36,22.82,4333224.4
108,2023-08-17,22.82,23.43,20.0,21.66,6294552.09
109,2023-08-18,21.67,22.2,20.9,21.34,3890112.81
110,2023-08-19,21.34,22.18,21.29,21.9,1694233.32
111,2023-08-20,21.89,22.04,21.57,21.77,1053613.37
112,2023-08-21,21.78,21.79,20.3,21.2,2646392.48
113,2023-08-22,21.2,21.26,19.35,20.59,3635900.71
114,2023-08-23,20.59,21.82,20.33,21.74,3704350.5
115,2023-08-24,21.74,22.02,20.67,21.06,2719332.54
116,2023-08-25,21.05,21.06,20.09,20.42,2321828.3
117,2023-08-26,20.42,20.44,20.19,20.29,743690.27
118,2023-08-27,20.28,20.92,20.24,20.79,1103526.81
119,2023-08-28,20.79,20.8,20.03,20.56,1622343.78
120,2023-08-29,20.57,22.05,20.12,21.79,5271801.95
121,2023-08-30,21.79,21.99,20.6,20.82,2462706.77
122,2023-08-31,20.82,21.07,19.43,19.74,3342646.88
123,2023-09-01,19.74,19.93,19.02,19.33,2517375.38
124,2023-09-02,19.33,19.69,19.13,19.5,1419243.59
125,2023-09-03,19.5,19.67,19.23,19.57,1032117.62
126,2023-09-04,19.57,20.05,19.15,19.52,2206040.45
127,2023-09-05,19.52,20.6,19.03,20.26,4197171.75
128,2023-09-06,20.26,20.39,19.14,19.64,3429947.48
129,2023-09-07,19.63,20.0,19.32,19.92,2375627.15
